Script started on 2026-07-22 00:48:25-06:00 [COMMAND="/home/jvilla/jaguar-tools/bin/jcp -c build/calib_skunk.cof" <not executed on terminal>]
jcp v02.04.02 built on Jul  6 2026

COFF File:  Skip 168 bytes, base addr is $4000, length is 37824 bytes
Sending...|/-\|/-\.| 
/-Jag accepted start request at $00004000.
 
Finished in 5153 millis, 7KB/second.
 
Starting console...
Cobweb jsim calibration suite v1
CAL vcmod    A s=0000020B e=0000020B w=00000000 r=00080000
CAL null     A s=00000148 e=00000072 w=00000001 r=00002000
CAL nop      A s=00000005 e=0000008E w=00000001 r=00000400
CAL move     A s=0000003E e=000000C6 w=00000001 r=00000400
CAL moveq    A s=00000077 e=00000100 w=00000001 r=00000400
CAL adddep   A s=000000AF e=00000197 w=00000002 r=00000400
CAL addind   A s=000000E9 e=00000171 w=00000001 r=00000400
CAL ldsram   A s=00000121 e=000000FB w=00000001 r=00000200
CAL ldidx    A s=0000015A e=000000F9 w=00000002 r=00000200
CAL lddram   A s=00000193 e=000000A8 w=00000003 r=00000200
CAL lddramc  A s=000001BE e=000001B1 w=00000002 r=00000100
CAL ldstride A s=000001EA e=000000AE w=00000001 r=00000100
CAL stdram   A s=00000032 e=000000B4 w=00000001 r=00000200
CAL blitsm   A s=0000003A e=00000058 w=00000000 r=00000080
CAL blitbg   A s=00000072 e=00000029 w=00000001 r=00000080
CAL blit1    A s=000000AB e=000000BE w=00000000 r=00000080
CAL blit2    A s=000000E3 e=000000F7 w=00000000 r=00000080
CAL blit4    A s=0000011D e=00000134 w=00000000 r=00000080
CAL blittex1 A s=00000157 e=00000111 w=00000001 r=00000080
CAL blittexq A s=00000191 e=0000014A w=00000001 r=00000080
CAL blitrmw  A s=000001C9 e=00000095 w=00000001 r=00000080
CAL ldunderb A s=0000002A e=000001F2 w=00000006 r=00000080
CAL dens2    A s=00000042 e=00000160 w=00000000 r=00000100
CAL dens6    A s=00000097 e=000001B5 w=00000000 r=00000100
CAL dens14   A s=00000105 e=0000001F w=00000001 r=00000080
CAL dens30   A s=0000013E e=00000063 w=00000001 r=00000080
CAL ldcunder A s=00000138 e=00000052 w=00000001 r=00000080
CAL fib      A s=0000019F e=0000007E w=00000001 r=00000080
CAL divext   A s=000001C8 e=000001D6 w=00000001 r=00000080
CAL divoff   A s=00000201 e=00000004 w=00000002 r=00000080
CAL bcmdidle A s=00000209 e=00000050 w=00000001 r=00000080
CAL bcmdbusy A s=0000003B e=00000199 w=00000006 r=00000080
CAL m68kbus  A s=00000000 e=00001EBA w=00000000 r=0000001E
CAL m68kreg  A s=00000000 e=00004210 w=00000000 r=0000001E
CAL m68kcpy  A s=00000000 e=000008E2 w=00000000 r=0000001E
CAL divhot   A s=00000111 e=00000015 w=00000002 r=00000200
CAL divsh    A s=0000017B e=00000119 w=00000001 r=00000200
CAL jr       A s=00000170 e=000001A0 w=00000002 r=00000100
CAL mainmov  A s=000001E5 e=000001E5 w=00000002 r=00000080
CAL mainnop  A s=00000013 e=00000012 w=00000002 r=00000080
CAL null     B s=0000000D e=00000134 w=00000000 r=00002000
CAL nop      B s=0000007D e=00000102 w=00000001 r=00000400
CAL move     B s=000000B5 e=0000013B w=00000001 r=00000400
CAL moveq    B s=000000D7 e=0000015D w=00000001 r=00000400
CAL adddep   B s=00000110 e=000001F6 w=00000002 r=00000400
CAL addind   B s=00000149 e=000001CF w=00000001 r=00000400
CAL ldsram   B s=00000182 e=0000015A w=00000001 r=00000200
CAL ldidx    B s=000001BB e=00000158 w=00000002 r=00000200
CAL lddram   B s=000001F3 e=0000006B w=00000002 r=00000200
CAL lddramc  B s=00000013 e=000000D6 w=00000001 r=00000100
CAL ldstride B s=0000003E e=0000010E w=00000000 r=00000100
CAL stdram   B s=00000092 e=00000111 w=00000001 r=00000200
CAL blitsm   B s=0000009A e=000000B7 w=00000000 r=00000080
CAL blitbg   B s=000000D2 e=00000088 w=00000001 r=00000080
CAL blit1    B s=0000010B e=0000011D w=00000000 r=00000080
CAL blit2    B s=00000145 e=00000158 w=00000000 r=00000080
CAL blit4    B s=0000017D e=00000193 w=00000000 r=00000080
CAL blittex1 B s=000001B8 e=00000171 w=00000001 r=00000080
CAL blittexq B s=000001F1 e=000001AA w=00000001 r=00000080
CAL blitrmw  B s=0000001D e=000000F4 w=00000000 r=00000080
CAL ldunderb B s=0000008B e=00000046 w=00000007 r=00000080
CAL dens2    B s=000000A2 e=0000014A w=00000000 r=00000100
CAL dens6    B s=000000F6 e=00000007 w=00000001 r=00000100
CAL dens14   B s=00000167 e=00000084 w=00000001 r=00000080
CAL dens30   B s=0000019E e=000000C4 w=00000001 r=00000080
CAL ldcunder B s=00000199 e=000000B2 w=00000001 r=00000080
CAL fib      B s=00000200 e=000000DE w=00000001 r=00000080
CAL divext   B s=0000001D e=000001C0 w=00000000 r=00000080
CAL divoff   B s=00000055 e=000001FB w=00000000 r=00000080
CAL bcmdidle B s=0000005D e=000000B0 w=00000000 r=00000080
CAL bcmdbusy B s=0000009C e=000001F9 w=00000006 r=00000080
CAL lddramop B s=000000EB e=000001B7 w=00000001 r=00000200
CAL m68kbus  B s=00000000 e=00001E31 w=00000000 r=0000001E
CAL m68kreg  B s=00000000 e=000040F4 w=00000000 r=0000001E
CAL m68kcpy  B s=00000000 e=000008BA w=00000000 r=0000001E
CAL divhot   B s=000001AB e=000000AD w=00000002 r=00000200
CAL divsh    B s=00000008 e=000001B3 w=00000000 r=00000200
CAL jr       B s=00000209 e=0000002C w=00000003 r=00000100
CAL mainmov  B s=00000072 e=0000004E w=00000001 r=00000080
CAL mainnop  B s=000000AC e=00000088 w=00000001 r=00000080
CAL DSPMARK val=00000000

Script done on 2026-07-22 00:54:26-06:00 [COMMAND_EXIT_CODE="143"]
